convo_id,avg_out_degree,n_nodes,avg_how_enjoyable,conv_length_min,n_participants,sex_pair
247fa9d7-7636-4faf-8620-b0e16c305909,1.4,5,8.0,26.0,2,FM
248e9787-661a-4b8a-90e9-6dab547ca69d,1.25,8,6.5,28.0,2,FF
249a5491-5c41-42d4-bcb0-5f72dfd8baa2,1.3333333333333333,6,6.5,27.0,2,FM
24a54a01-bc09-4316-b630-6e5fdb23c490,1.4,10,8.5,30.0,2,FM
24be1878-43b6-4f03-b6c1-8ddf08dcc5c1,1.4285714285714286,7,8.5,32.0,2,MM
251d923a-e4f6-4a68-9169-2f3d1f7311a7,1.5555555555555556,9,5.0,25.0,2,MM
25262e9d-0157-4bc2-a7aa-ce0f1509e075,1.1428571428571428,7,8.0,30.0,2,MM
25273115-7813-4bfa-bd50-1e4ce0cadfe3,1.1111111111111112,9,7.0,32.0,2,FF
25b3edec-ae20-480c-b1d4-7a6da0b36156,1.4285714285714286,7,6.0,26.0,2,MM
25de27d1-adc5-44fe-85ce-fc53e15e1b02,1.4285714285714286,7,7.0,32.0,2,FM
2608d293-6af3-4f26-959c-e0f6a2597a37,1.25,12,8.5,26.0,2,FM
2609820a-8b4f-4827-b94b-df5244dbb4d8,1.0,11,4.5,27.0,2,UNK
262878c2-d717-48ac-a35a-73e91bc685a6,1.6666666666666667,9,8.0,25.0,2,FM
263fc615-bee8-48a5-8a1f-28bff46ec228,1.3,10,7.5,30.0,2,FM
2640fc6c-7c92-4ab2-be2b-8f3a2f0bda40,1.25,8,9.0,27.0,2,FF
265c2640-040f-4f32-9ac6-2fb564d28133,1.3,10,7.0,25.0,2,FM
265c90a1-79ba-4956-888d-7f27ecb76424,1.1818181818181819,11,7.5,25.0,2,UNK
2673c393-67e0-4880-b56f-d6b2696f1631,1.0,7,7.0,25.0,2,FM
2699024b-93f4-48b8-ac08-3012274a47fa,1.4444444444444444,9,9.0,31.0,2,FF
269bc7df-9b19-4879-88c7-4474dbd62f67,1.375,8,8.5,29.0,2,FF
26dcc0cf-44f8-45a1-a48f-2add3083502f,1.1818181818181819,11,6.5,28.0,2,FM
274f653a-066f-42ee-8ea6-ac84d739cfe1,1.4285714285714286,7,8.5,26.0,2,FM
278c95fb-185b-4fcd-979a-99c8b55dca30,1.1666666666666667,6,8.0,25.0,2,FM
279b4ae4-c404-4365-b9ed-976bb688c803,1.5,10,7.5,29.0,2,FM
289be61b-6e42-4677-874e-6e858d52b8c3,0.8,5,7.0,25.0,2,FM
28ece3f2-877f-4f20-9488-0dea13ea9f17,1.375,8,7.0,26.0,2,FM
293c053e-47a3-4ab5-84ab-c167527233ce,1.0909090909090908,11,5.5,25.0,2,FM
29550aa0-a640-4c7f-8664-546921f2a387,1.375,8,7.5,26.0,2,FF
29b7edd5-d78d-4edb-bcce-4f6c9a166455,0.9,10,6.0,25.0,2,FM
29f8f496-079b-4a71-84ff-7100bbc28824,1.0,8,8.0,0.0,2,UNK
2a2cab49-1155-4379-b926-0e1b9e838687,1.25,8,8.5,28.0,2,FF
2a35b21b-8134-45fc-8194-0ca3cd292220,1.4285714285714286,7,8.5,30.0,2,MM
2a4b8fbc-ece6-4a80-837f-8d2b08b2c4ce,1.5,8,9.0,35.0,2,FF
2a4d7a05-b514-4927-a797-3644b4046f43,1.1,10,8.0,30.0,2,UNK
2a863b95-3e08-4f7a-8b13-4fd804164e93,1.3846153846153846,13,7.0,30.0,2,MM
2aaf75c0-e7ad-4261-a377-0e1e954bd8fe,1.25,12,9.0,32.0,2,FM
2aef4398-4c93-440c-86a2-561efc102293,1.2222222222222223,9,8.0,36.0,2,FM
2af937fb-4da0-43db-91da-ca3fd9ebedef,1.3333333333333333,6,7.0,25.0,2,FM
2b10d00a-1350-4a61-80ac-4ae203c87343,1.3333333333333333,12,8.0,32.0,2,FM
2b209eb6-0d48-4ebb-9290-5a027ffa3c72,1.2,10,9.0,29.0,2,FF
2b52341f-05ff-4341-905a-c264b228e625,0.8333333333333334,6,4.0,26.0,2,FF
2b5a65a2-f865-4de5-875a-4515376a8a1f,1.3636363636363635,11,7.5,40.0,2,FM
2b5ecfe7-75e9-4744-b6bd-805b525fa5ee,1.5,12,8.5,38.0,2,FM
2b74fe16-8ecd-476b-a432-b0b11dbe98fd,1.4285714285714286,14,7.0,26.0,2,FM
2b7760a2-c248-4ace-8313-919719349404,1.375,8,7.5,26.0,2,MM
2b880958-0e7f-4e9d-9017-1b022a7bc4b3,1.7777777777777777,18,8.0,74.0,2,FM
2bc13e09-30ac-4bd6-941c-24036501b329,1.0,4,8.5,30.0,2,FF
2bf9891d-43a6-4f5e-b22b-4ae0bb504f22,1.0,11,5.5,25.0,2,FM
2c6def47-4ba6-49ce-9bc2-97f513e7c592,1.1428571428571428,7,8.5,30.0,2,MM
2c770f9c-e6e6-4ccc-8215-6cbfdcb9af46,0.9,10,6.5,27.0,2,FM
2c81c2ee-4b36-4de3-9463-c1fb6dd33899,1.2,10,8.5,27.0,2,FF
2c8254a6-469a-4d7f-881f-b98fbc98c634,1.5,8,8.0,35.0,2,FF
2c922771-18a5-474d-bf4c-4c1433048e68,1.125,8,6.0,25.0,2,FM
2c92dd3e-6e7a-4968-871d-5674790e7a74,1.1,10,7.0,25.5,2,FM
2c9f9799-b379-4c6e-91dd-38a1897d4ff6,1.1,10,6.0,29.0,2,FM
2ca8ec4a-32b5-4a96-ae8e-73b5322c993c,1.6,10,8.0,30.0,2,MM
2cce874b-1165-4bd9-9676-831266579272,1.25,12,7.0,30.0,2,FF
2d20999a-e929-43c8-9b4f-f220cafc06d1,1.3333333333333333,6,5.5,26.0,2,FM
2d271d93-fc72-43ed-9e2f-18ff188d5875,1.2222222222222223,9,7.5,30.0,2,MM
2d3b2c02-ec0e-4be1-bd11-5cead2bdfd81,1.2857142857142858,7,7.0,26.0,2,FF
2d7f1113-de9d-4e61-bdbe-38a9bd2a1121,1.3333333333333333,9,9.0,25.0,2,FF
2d86a7ed-c970-47ef-80b2-c87393ef4734,1.125,8,8.5,29.0,2,FM
2d8791a3-3ad0-4011-bdc1-2dde05ebcba2,1.2857142857142858,7,8.5,28.0,2,FM
2d901561-fa27-4532-af85-be4a5cb511fd,1.5714285714285714,7,7.5,27.0,2,MM
